"","country","art.prev"
"25","Angola",0.114573769016113
"52","Benin",0.307712287712288
"79","Botswana",0.480471108216587
"106","Burkina Faso",0.304280344367649
"133","Burundi",0.117967998472621
"160","Cameroon",0.143114122913645
"187","Central African Republic",0.143550475646686
"214","Chad",0.184784074584421
"241","Congo",0.127525232393131
"268","Cote dIvoire",0.211100427413066
"295","Democratic Republic of the Congo",0.0739019816886674
"322","Djibouti",0.0762239561004887
"349","Equatorial Guinea",0.0696964460572548
"376","Eritrea",0.234885372286468
"403","Ethiopia",0.389840381605635
"430","Gabon",0.246012223264778
"457","Gambia",0.0513161225006327
"484","Ghana",0.132849199834912
"511","Guinea",0.223078719925251
"538","Guinea-Bissau",0.144787961696306
"565","Kenya",0.267409659016075
"592","Lesotho",0.22061783458304
"619","Liberia",0.0973817841322433
"646","Madagascar",0.0100605587028717
"673","Malawi",0.243747159044234
"700","Mali",0.338499351403018
"727","Mauritius",0.098313391956177
"754","Mozambique",0.134620936146814
"781","Namibia",0.388758957854615
"808","Niger",0.125324096580781
"835","Nigeria",0.106405723059983
"862","Rwanda",0.532025428942511
"889","Senegal",0.227643084260731
"916","Sierra Leone",0.0760616066686679
"943","South Africa",0.172234817454591
"997","Swaziland",0.267567993444896
"1024","Togo",0.149449167079633
"1051","Uganda",0.205984434932692
"1078","United Republic of Tanzania",0.161290464845717
"1105","Zambia",0.292142035033337
"1132","Zimbabwe",0.213058463827156
