"","1","2","3","4"
"Burkina Faso 2003",7,17,10,719
"Cameroon 2004",19,27,34,980
"DRC 2007",2,13,10,1172
"Ethiopia 2005",7,13,8,1622
"Ethiopia 2011",32,22,17,3950
"Ghana 2003",7,16,10,924
"Guinea 2005",2,3,3,591
"Kenya 2003",25,16,24,676
"Kenya 2008-9",27,21,24,805
"Lesotho 2004",86,46,17,300
"Lesotho 2009",98,67,47,438
"Liberia 2007",6,9,14,1285
"Malawi 2004",61,37,26,700
"Malawi 2010",92,97,55,1975
"Mali 2006",6,4,8,1057
"Niger 2006",0,7,1,895
"Rwanda 2005",35,28,10,1676
"Senegal 2005",3,1,2,533
"Sierra Leone 2008",5,2,8,687
"Swaziland 2006-7",113,33,38,247
"Zambia 2007",122,107,60,1310
"Zimbabwe 2005-6",158,81,57,974
"Zimbabwe 2010-1",156,108,64,1294
